date,tavg,tmin,tmax,prcp
07-09-2006,30.4,26.1,34.7,
08-09-2006,30.3,26.1,34.7,
09-09-2006,30.4,26.6,34.6,
10-09-2006,30.1,26,34.4,
11-09-2006,30.9,26.2,36.1,
12-09-2006,31.2,27.2,36.4,
13-09-2006,29.6,26.8,,
14-09-2006,27,22.9,30.2,29
15-09-2006,29,24.2,33.8,6.1
16-09-2006,30.1,25.8,35,0
17-09-2006,30.4,26.4,35.6,
18-09-2006,31.9,,36.5,
19-09-2006,31.8,26.7,37.4,
20-09-2006,31.8,28,37.7,
21-09-2006,30.3,25.7,35,
22-09-2006,27.9,,35.6,
23-09-2006,27.1,21.4,33.3,
24-09-2006,28,21.5,34.3,
25-09-2006,27.4,21.6,34.6,
26-09-2006,27.9,21.8,35.2,
27-09-2006,28.7,23,36.2,
28-09-2006,27.7,23,35.5,
29-09-2006,28.1,21.6,34.8,
30-09-2006,29.4,23.2,36.5,
01-10-2006,28.5,22.8,36.7,
02-10-2006,28.3,22.4,36.2,
03-10-2006,28.1,21.5,36.2,
04-10-2006,28.7,21.3,37.4,
05-10-2006,29.1,22.4,36.8,
06-10-2006,29.6,23.3,37.4,
07-10-2006,29.3,23.3,36.3,
08-10-2006,29,,36.2,
09-10-2006,28.9,24,35.7,
10-10-2006,27.6,22.5,35.4,
11-10-2006,28.1,22.2,35.5,
12-10-2006,28,22.7,35.5,
13-10-2006,28.3,21.7,35.6,
14-10-2006,28.7,21.9,35.5,
15-10-2006,27.7,21.7,34.3,
16-10-2006,26.9,21.4,34,
17-10-2006,26.6,21,33.3,
18-10-2006,28.4,21.6,35.2,
19-10-2006,24.3,,29.6,1
20-10-2006,23,19.3,29,2
21-10-2006,23.8,17.3,30.8,0.3
22-10-2006,22.6,,27.6,0
23-10-2006,22.6,16.5,30.3,
24-10-2006,22.8,16.8,30.2,
25-10-2006,22.8,16.5,30.6,
26-10-2006,22.9,17.5,31,
27-10-2006,23.1,17.4,30.7,
28-10-2006,23.8,17.4,31.2,
29-10-2006,23.5,18.4,31.6,
30-10-2006,22.4,17.5,30.1,
31-10-2006,22.9,16.3,31.7,
01-11-2006,22.8,17.2,30.7,
02-11-2006,22.5,15.6,31.2,
03-11-2006,22.5,16,30.2,
04-11-2006,22.6,17,30.2,
05-11-2006,22.2,16,31,
06-11-2006,22.2,15.6,31.6,
07-11-2006,22.7,15.8,33,
08-11-2006,22.3,15.7,31.6,
09-11-2006,22.6,16.5,30.7,
10-11-2006,22.1,15.7,31.1,
11-11-2006,22.7,15.3,31.4,
12-11-2006,21.3,16.1,29,
13-11-2006,21.7,15.7,30,
14-11-2006,20.2,15.8,29.3,
