date,tavg,tmin,tmax,prcp
23-06-2006,28.2,23.7,31.2,21.1
24-06-2006,29.3,24.4,33.1,10.9
25-06-2006,28.3,26.2,31.3,15
26-06-2006,28.6,26.6,32.4,0.3
27-06-2006,26.8,,,45
28-06-2006,28.4,25.4,32.1,113
29-06-2006,27.6,,30.5,19.1
30-06-2006,26.7,,29,33
01-07-2006,26.4,25.6,,53.1
02-07-2006,26.2,26,28,66
03-07-2006,25.8,,,165.1
04-07-2006,24.9,,,151.9
05-07-2006,25.6,23,,230.9
06-07-2006,27.8,,31.6,119.9
07-07-2006,28.2,,31.1,7.1
08-07-2006,28.2,,31,1
09-07-2006,28,26.4,31.1,0.3
10-07-2006,27.8,26,30.2,0.8
11-07-2006,27.8,25.5,31,7.9
12-07-2006,27.8,26.4,,7.9
13-07-2006,28.3,,30.9,3
14-07-2006,28.3,,31.2,4.1
15-07-2006,28,,31.3,1
16-07-2006,28.3,,31.6,1
17-07-2006,27.8,26.8,31.5,2
18-07-2006,27.6,20.1,30.9,0.3
19-07-2006,27.6,25.6,31,2
20-07-2006,27.3,,30.7,5.1
21-07-2006,26.6,24.8,29.3,10.9
22-07-2006,26.2,,,23.9
23-07-2006,26.3,25,,61
24-07-2006,27.4,25,30.5,29
25-07-2006,27.5,,30.7,4.1
26-07-2006,27.4,24.7,31.1,18
27-07-2006,27.3,25.3,29.2,8.9
28-07-2006,26.6,,28.5,18
29-07-2006,26.8,,28.3,18
30-07-2006,27,25.6,29,11.9
31-07-2006,27.1,,30.4,25.9
01-08-2006,26.8,,30.3,13
02-08-2006,27.2,,30.2,23.9
03-08-2006,27.1,,30.5,3
04-08-2006,27.1,25.7,30.1,0.5
05-08-2006,25.6,,27.4,2
06-08-2006,24.9,,26.1,115.1
07-08-2006,25.1,,,224
08-08-2006,25.8,,28.6,146.1
09-08-2006,26.7,24.2,28.6,103.9
10-08-2006,26.3,,27.7,6.1
11-08-2006,26.9,26,29.4,11.9
12-08-2006,26.5,,29,3
13-08-2006,26.9,25.6,30,7.1
14-08-2006,26.8,,29.6,5.1
15-08-2006,26.4,25,30.1,13
16-08-2006,24.8,,26.4,54.1
17-08-2006,26.2,,29.6,113
18-08-2006,26.8,25.9,30,7.9
19-08-2006,26.4,,29.6,1
20-08-2006,26.4,,30,10.9
21-08-2006,26.8,,30,2
22-08-2006,26.3,,29.6,0.3
23-08-2006,26.8,25,30.6,9.9
24-08-2006,27,,30.8,0.5
25-08-2006,26.6,24.5,30,31
26-08-2006,26.7,25.4,30.5,6.1
27-08-2006,26.9,,30.2,14
28-08-2006,26.8,,30,7.9
29-08-2006,27.1,25.5,30.6,6.1
30-08-2006,27.4,26.5,30,2
31-08-2006,27.4,,31,1
01-09-2006,25.9,,29.1,0
02-09-2006,26.3,24,31,50
03-09-2006,26.6,,30.2,5.1
04-09-2006,27.3,24.7,30.6,3
05-09-2006,26.7,24.5,,41.9
06-09-2006,26.1,24,29.8,34
07-09-2006,27.3,25,31,9.9
08-09-2006,27.7,24.9,31.4,0
09-09-2006,28.2,25.9,32.4,
10-09-2006,28.6,25.9,32,
11-09-2006,28.2,,31.8,
12-09-2006,27.7,,31,
13-09-2006,28.1,25.9,31.7,
14-09-2006,26.2,,30.5,
15-09-2006,27.2,24.6,31.8,
16-09-2006,27.1,,31.7,
17-09-2006,26.4,,31,
18-09-2006,26.1,,29.9,
19-09-2006,27.7,25,32.1,
20-09-2006,26.7,,31.8,
21-09-2006,26.9,,30.7,0.8
22-09-2006,26.8,,,5.1
23-09-2006,27.4,,31.6,0.5
24-09-2006,27.7,25,32.3,1
25-09-2006,27.8,,32.1,0.3
26-09-2006,26.5,,29.1,0
27-09-2006,27,24.8,31,5.1
28-09-2006,27.1,,30.8,0
29-09-2006,28.3,25.2,31.1,6.1
30-09-2006,28.2,23.9,30.8,21.1
01-10-2006,25.8,,,22.1
02-10-2006,26.4,23.9,30,81
03-10-2006,28.2,24,32.4,96
04-10-2006,27.8,,31.2,0
05-10-2006,28,,31.7,2
06-10-2006,28.1,,31.5,0
07-10-2006,27.8,25.1,31.8,
08-10-2006,27.5,24.4,30.8,
09-10-2006,27.9,24.3,31.8,
10-10-2006,28.3,,32,
11-10-2006,28.5,25.8,32.7,0
12-10-2006,28.7,,32.8,
13-10-2006,29.5,25.9,35.1,
14-10-2006,30.1,25.3,36.5,
15-10-2006,30.2,24.8,35.9,
16-10-2006,30.6,23.5,36.2,
17-10-2006,30.2,24,36.8,
18-10-2006,29.9,24.7,35.4,
19-10-2006,29.2,24,35.8,
20-10-2006,29.3,23.1,36,
21-10-2006,29.8,24.3,35.5,
22-10-2006,29.7,,36,
23-10-2006,29.6,23.3,36,
24-10-2006,29.7,,36,
25-10-2006,30.1,,35.8,
26-10-2006,29.4,22.9,36,
27-10-2006,29.8,22.9,35.3,
28-10-2006,29.7,22.9,34.9,
29-10-2006,29.2,23.5,35.1,
30-10-2006,29.3,24,34.3,
31-10-2006,29.3,,35.6,
01-11-2006,28.7,22.9,35.3,
02-11-2006,28.6,24.4,35.3,
03-11-2006,28.1,22.9,33,
04-11-2006,28.8,23.2,33.6,
05-11-2006,27.4,,35,
06-11-2006,27.7,22.1,33.8,
07-11-2006,27.9,22.2,33.6,
08-11-2006,27.7,,33,
09-11-2006,28.2,21.5,34,
10-11-2006,28,,34.1,
11-11-2006,28.2,19.8,34.5,
12-11-2006,27.7,19.9,33.6,
13-11-2006,27.7,20.5,34,
14-11-2006,28,20.8,34.6,
15-11-2006,28.4,21.2,35.1,
16-11-2006,28.2,21.3,35.6,
17-11-2006,28.4,20.7,35,
18-11-2006,28.6,21.3,35,
19-11-2006,28.4,21.3,35.5,
20-11-2006,28.8,22.6,35.7,
21-11-2006,28.4,22,34.7,
22-11-2006,27.8,24,31.8,
23-11-2006,27.7,,32.5,0
24-11-2006,27.4,23.5,32.1,
25-11-2006,27.4,,32.5,
26-11-2006,27.3,20.9,33.8,
27-11-2006,27.4,19.6,33.2,
28-11-2006,27.4,19.4,34,
29-11-2006,27.4,22.7,34.5,
30-11-2006,27.4,22,32.7,
01-12-2006,27.1,22.8,32.8,
02-12-2006,26.7,,32.5,
03-12-2006,26.8,,33.6,
04-12-2006,27.4,19.3,35,
05-12-2006,26.9,19.9,33.5,
06-12-2006,26.5,20.4,,
07-12-2006,26.5,20.3,34,
08-12-2006,25.9,19.7,33.4,
09-12-2006,25.7,18.8,33.3,
10-12-2006,25.3,18.3,32.5,
11-12-2006,24.9,17.1,31.2,
12-12-2006,25.6,16.3,33.4,
13-12-2006,26.6,,33.3,
14-12-2006,28.2,19.9,35.2,
15-12-2006,27.2,,34.2,
16-12-2006,27.1,17.4,34.4,
17-12-2006,27,16.6,34.2,
18-12-2006,25.7,15.6,33.6,
19-12-2006,26.1,16.5,34.8,
20-12-2006,26,16.7,33.8,
21-12-2006,25.1,17.4,33,
22-12-2006,26.2,19.1,33.7,
23-12-2006,26.7,18.4,33.6,
24-12-2006,26.3,,33,
25-12-2006,25.7,,32,
26-12-2006,25.4,18.6,32.5,
27-12-2006,25.7,19,31.4,
28-12-2006,26,19.2,33.7,
29-12-2006,25.8,18.3,33.3,
30-12-2006,25.8,19.4,32,
31-12-2006,24.4,17.2,30.8,
01-01-2007,24.3,15.5,32,
02-01-2007,24.3,16.3,31.8,
